Time,Temperature,On Time
9659,34,19,90.76
9684,34,21,90.76
9709,34,19,90.76
9735,34,18,91.55
9759,34,17,91.55
9784,34,18,91.55
9809,34,17,91.55
9834,34,19,91.55
9860,34,19,87.33
9884,34,19,87.33
9909,34,20,87.33
9934,34,18,87.33
9959,34,18,93.0
9984,34,18,93.0
10009,34,17,93.0
10035,35,21,93.0
10061,35,19,88.67
10087,35,21,88.67
10113,35,19,88.67
10139,35,18,88.67
10165,35,18,94.36
10190,35,18,94.36
10217,35,17,94.36
10243,35,19,94.36
10269,35,19,90.04
10295,35,21,90.04
10320,35,18,90.04
10347,35,18,90.04
10373,35,17,100.75
10400,35,18,100.75
10427,35,17,100.75
10454,35,20,100.75
10481,35,19,91.44
10507,35,21,91.44
10533,35,18,91.44
10559,35,18,91.44
10585,35,18,97.15
10611,35,17,97.15
10637,35,20,97.15
10663,35,20,97.15
10689,35,19,92.83
10715,35,20,92.83
10741,35,18,92.83
10767,35,17,92.83
10793,35,18,98.53
10819,35,18,98.53
10845,35,19,98.53
10871,35,20,98.53
10897,35,20,89.21
10923,35,17,89.21
10949,35,17,89.21
10975,35,18,89.21
11001,35,18,99.91
11027,36,20,99.91
11053,36,19,99.91
11079,36,19,99.91
11105,36,19,95.6
11131,36,17,95.6
11157,36,18,95.6
11183,36,18,95.6
11209,36,17,106.31
11236,36,20,106.31
11264,36,19,106.31
11290,36,20,106.31
11317,36,20,92.01
11343,36,17,92.01
11369,36,18,92.01
11396,36,17,92.01
11421,36,18,102.72
11448,36,20,102.72
11475,36,19,102.72
11502,36,19,102.72
11530,36,20,93.42
11555,36,18,93.42
11581,36,18,93.42
11608,36,17,93.42
11633,36,19,99.12
11660,36,20,99.12
11685,36,19,99.12
11711,36,19,99.12
11738,36,18,104.83
11764,36,18,104.83
11791,36,18,104.83
11819,36,18,104.83
11845,36,19,100.54
11873,36,19,100.54
11899,36,20,100.54
11927,36,20,100.54
11954,36,17,111.28
11980,36,18,111.28
12008,36,18,111.28
12035,37,19,111.28
12062,37,20,96.99
12088,37,21,96.99
12113,37,20,96.99
12140,37,18,96.99
12166,37,18,107.71
12193,37,17,107.71
12220,37,18,107.71
12247,37,21,107.71
12274,37,19,103.43
12301,37,20,103.43
12328,37,21,103.43
12355,37,18,103.43
12382,37,18,109.16
12409,37,18,109.16
12436,37,19,109.16
12464,37,20,109.16
12490,37,20,99.88
12516,37,20,99.88
12542,37,17,99.88
12568,37,18,99.88
12595,37,18,110.6
12621,37,18,110.6
12648,37,21,110.6
12676,37,20,110.6
12702,37,20,101.31
12730,37,17,101.31
12756,37,18,101.31
12783,37,17,101.31
12811,37,18,112.05
12837,37,21,112.05
12865,37,19,112.05
12892,37,20,112.05
12919,37,20,102.77
12946,37,18,102.77
12973,37,18,102.77
13000,37,17,102.77
13027,38,18,113.51
13053,38,20,113.51
13081,38,19,113.51
13108,38,21,113.51
13135,38,20,104.23
13162,38,18,104.23
13189,38,18,104.23
13216,38,18,104.23
13243,38,19,109.96
13271,38,20,109.96
13297,38,19,109.96
13325,38,20,109.96
13351,38,18,115.71
13378,38,18,115.71
13406,38,18,115.71
13432,38,19,115.71
13460,38,20,106.43
13487,38,20,106.43
13513,38,19,106.43
13541,38,17,106.43
13568,38,18,117.18
13595,38,17,117.18
13622,38,17,117.18
13648,38,21,117.18
13676,38,20,107.9
13703,38,19,107.9
13730,38,21,107.9
13757,38,17,107.9
13785,38,18,118.66
13811,38,18,118.66
13838,38,21,118.66
13865,38,19,118.66
13892,38,19,114.39
13919,38,21,114.39
13946,38,18,114.39
13973,38,18,114.39
14001,38,18,120.14
14027,39,19,120.14
14054,39,19,120.14
14082,39,20,120.14
14108,39,21,105.87
14136,39,17,105.87
14162,39,18,105.87
14190,39,18,105.87
14217,39,18,121.62
14243,39,19,121.62
14271,39,21,121.62
14298,39,20,121.62
14325,39,19,117.36
14352,39,17,117.36
14379,39,18,117.36
14406,39,17,117.36
14433,39,21,108.09
14460,39,21,108.09
14487,39,20,108.09
14514,39,20,108.09
14541,39,18,123.84
14568,39,18,123.84
14596,39,18,123.84
14622,39,18,123.84
14650,39,21,109.57
14676,39,20,109.57
14703,39,20,109.57
14731,39,20,109.57
14757,39,18,125.33
14784,39,18,125.33
14812,39,18,125.33
14838,39,20,125.33
14866,39,21,111.06
14893,39,20,111.06
14919,39,21,111.06
14947,39,18,111.06
14973,39,18,126.82
15001,39,18,126.82
15028,40,20,126.82
15055,40,20,126.82
15082,40,20,117.56
15109,40,20,117.56
15136,40,20,117.56
15163,40,18,117.56
15191,40,17,133.33
15217,40,18,133.33
15244,40,19,133.33
15271,40,21,133.33
15298,40,21,114.06
15326,40,20,114.06
15352,40,18,114.06
15379,40,18,114.06
15407,40,18,129.83
15433,40,20,129.83
15461,40,21,129.83
15488,40,20,129.83
15515,40,20,120.58
15542,40,21,120.58
15568,40,18,120.58
15596,40,18,120.58
15623,40,18,131.34
15649,40,21,131.34
15677,40,19,131.34
15704,40,19,131.34
15731,40,21,117.08
15758,40,18,117.08
15784,40,18,117.08
15812,40,18,117.08
15839,40,19,127.84
15866,40,19,127.84
15893,40,20,127.84
15921,40,21,127.84
15947,40,20,123.59
15974,40,18,123.59
16002,40,18,123.59
16028,41,20,123.59
16056,41,20,124.34
16082,41,21,124.34
16109,41,20,124.34
16137,41,20,124.34
16163,41,18,135.12
16191,41,18,135.12
16218,41,17,135.12
16244,41,21,135.12
16272,41,21,120.85
16299,41,20,120.85
16326,41,21,120.85
16353,41,18,120.85
16380,41,18,136.63
16407,41,18,136.63
16434,41,20,136.63
16461,41,21,136.63
16488,41,20,127.39
16515,41,20,127.39
16542,41,21,127.39
16569,41,18,127.39
16596,41,18,138.16
16623,41,18,138.16
16650,41,20,138.16
16677,41,21,138.16
16704,41,20,128.92
16732,41,21,128.92
16758,41,18,128.92
16786,41,18,128.92
16813,41,18,139.7
16839,41,20,139.7
16867,41,20,139.7
16893,41,20,139.7
16921,41,20,130.46
16948,41,21,130.46
16974,41,18,130.46
17002,41,18,130.46
17029,42,21,126.21
17056,42,20,126.21
17083,42,21,126.21
17110,42,21,126.21
17137,42,20,131.97
17164,42,18,131.97
17191,42,18,131.97
17218,42,18,131.97
17246,42,20,132.73
17272,42,21,132.73
17299,42,20,132.73
17327,42,20,132.73
17353,42,21,128.49
17380,42,18,128.49
17408,42,18,128.49
17434,42,20,128.49
17462,42,21,129.24
17488,42,20,129.24
